	Texte contient	Type	Entité correcte	motif
Paz Estenssoro	Paz Estenssoro	Personnalités	Victor Paz Estenssoro	alias
Pérez de Cuellar	Pérez de Cuellar	Personnalités	Javier Pérez de Cuellar	alias
Roa Bastos	Roa Bastos	Personnalités	Augusto Roa Bastos	
Timor-Est	Timor-Est	pays	Timor-Leste	alias
Rwanda-Urundi				
Knesseth	Knesseth	Institutions	Knesset	ancien_nom
Caboul	Caboul	Géographie	Kaboul	ancien_nom
Stamboul	Stamboul	Géographie	Istanbul	ancien_nom
Istamboul	Istamboul	Géographie	Istanbul	ancien_nom
Bélize	Bélize	Géographie	Belize	correction
Communauté charbon-acier	Communauté charbon-acier	Institutions	Communauté européenne du charbon et de l'acier (CECA)	correction
Staline	Staline	Personnalités	Joseph Staline	alias
Malaysia	Malaysia	Géographie	Malaisie	correction
Bandoeng	Bandoeng	Géographie	Bandung	correction
Chah	Chah	Personnalités	Chah d'Iran	alias
Antarctide	Antarctide	Géographie	Antarctique	alias
Ville lumière	Ville lumière	Géographie	Paris	correction
Congress of South African	Congress of South African	Organisations	Congrès des syndicates sud-africains	
State Department	State Department	Institutions	Département d'État	alias
UFC	UFC	Entreprises	United Fruit Company	alias
UFC	Que choisir	Organisations	UFC - Que chosir	correction
Communauté d'Etats indépendants (CEI)	Communauté d'Etats indépendants (CEI)	Organisations	Communauté des États indépendants (CEI)	correction
Fédération internationale de football association (FIFA)	Fédération internationale de football association (FIFA)	Institutions	Fédération internationale de Football (FIFA)	correction
Sciences Po Paris	Sciences Po Paris	Institutions	Sciences Po	correction
Haut-Commissariat pour les réfugiés (HCR)	Haut-Commissariat pour les réfugiés (HCR)	Institutions	Haut Commissariat des Nations unies pour les réfugiés (HCR)	correction
Haut Commissariat pour les réfugiés (HCR)	Haut Commissariat pour les réfugiés (HCR)	Institutions	Haut Commissariat des Nations unies pour les réfugiés (HCR)	
traité de non-prolifération nucléaire (TNP)	traité de non-prolifération nucléaire (TNP)	Institutions	Traité de non-prolifération nucléaire (TNP)	correction
Mouvement des travailleurs ruraux sans terre (MST)	Mouvement des travailleurs ruraux sans terre (MST)	Partis politiques	Mouvement des travailleurs sans terre (MST)	alias
Mouvement des sans-terre (MST)	Mouvement des sans-terre (MST)	Partis politiques	Mouvement des travailleurs sans terre (MST)	
Armée de libération du Kosovo (UCK)	Armée de libération du Kosovo (UCK)	Partis politiques	Armée de libération du Kosovo (UÇK)	alias
Organisation de coopération et de développement économique (OCDE)	Organisation de coopération et de développement économique (OCDE)	Organisations	Organisation de coopération et de développement économiques (OCDE)	correction
Tribunal pénal international (TPIY)	Tribunal pénal international (TPIY)	Institutions	Tribunal pénal international pour l'ex-Yougoslavie (TPIY)	correction
Orgnanisation des Nations unies pour l'alimentation et l'agriculture (FAO)	Orgnanisation des Nations unies pour l'alimentation et l'agriculture (FAO)	Organisations	Nations unies pour l'alimentation et l'agriculture (FAO)	alias
Nations unies pour l'agriculture et l'alimentation (FAO)	Nations unies pour l'agriculture et l'alimentation (FAO)	Organisations	Nations unies pour l'alimentation et l'agriculture (FAO)	correction
Organisation des pays producteurs de pétrole (OPEP)	Organisation des pays producteurs de pétrole (OPEP)	Organisations	Organisation des pays exportateurs de pétrole (OPEP)	correction
Conseil économique et social (CES)	Conseil économique et social (CES)	Institutions	Conseil économique et social (Ecosoc)	correction
Cour internationale de justice de xxx (CIJ)	Cour internationale de justice de xxx (CIJ)	Institutions	Cour internationale de justice (CIJ)	correction
COP2	COP2	Organisations	COP21	correction
Aliance Atlantique (OTAN)	Aliance Atlantique (OTAN)	Organisations	Organisation du traité de l'Atlantique nord (OTAN)	alias
Cédéao	Cédéao	Organisations	Cedeao	alias
Cyrus Vance (ONU)	Cyrus Vance (ONU)	Personnalités	Cyrus Vance	correction
Occupy Wall Street (OWS)	Occupy Wall Street (OWS)	Partis politiques	Occuper Wall Street (OWS)	traduction
Parlement de Strasbourg	Parlement de Strasbourg	Institutions	Parlement européen	alias
secrétariat général 	secrétariat général de l'ONU	Institutions	Secrétariat général des Nations unies	alias
secrétariat général 	secrétariat général des Nations unies	Institutions	Secrétariat général des Nations unies	alias
Traité de non-prolifération (TNP)	Traité de non-prolifération (TNP)	Institutions	Traité de non-prolifération nucléaire (TNP)	alias
Abu Sayyaf	Abu Sayyaf	Partis politiques	Abou Sayyaf 	alias
Front islamique de salut (FIS)	Front islamique de salut (FIS)	Partis politiques	Front islamique du salut (FIS)	correction
Mouvement pour la libération de l'Angola (MPLA)	Mouvement pour la libération de l'Angola (MPLA)	Partis politiques	Mouvement populaire de libération de l'Angola (MPLA) 	correction
Mouvement populaire pour la libération de l'Angola (MPLA) 	Mouvement populaire pour la libération de l'Angola (MPLA) 	Partis politiques	Mouvement populaire de libération de l'Angola (MPLA) 	correction
Mouvement pour la libération de l'Angola (MPLA) 	Mouvement pour la libération de l'Angola (MPLA) 	Partis politiques	Mouvement populaire de libération de l'Angola (MPLA) 	correction
Front de libération nationale kanak socialiste (FLNKS) 	Front de libération nationale kanak socialiste (FLNKS) 	Partis politiques	Front de libération nationale kanak et socialiste (FLNKS) 	correction
Le Congrès national africain (ANC)	Le Congrès national africain (ANC)	Partis politiques	Congrès national africain (ANC)	correction
Alliance des forces démocratiques pour la libération (AFDL) 	Alliance des forces démocratiques pour la libération (AFDL) 	Partis politiques	Alliance des forces démocratiques pour la libération du Congo-Zaïre (AFDL) 	correction
Forces armées révolutionnaires de Colombie - Armée du peuple (FARC) 	Forces armées révolutionnaires de Colombie - Armée du peuple (FARC) 	Partis politiques	Forces armées révolutionnaires de Colombie (FARC) 	alias
Organisation pour la libération de la Palestine (OLP) 	Organisation pour la libération de la Palestine (OLP) 	Partis politiques	Organisation de libération de la Palestine (OLP) 	alias
Front populaire pour la libération de la Palestine (FPLP) 	Front populaire pour la libération de la Palestine (FPLP) 	Partis politiques	Front populaire de libération de la Palestine (FPLP) 	alias
Parti social-démocrate brésilien (PSDB)	Parti social-démocrate brésilien (PSDB)	Partis politiques	Parti de la social-démocratie brésilienne (PSDB)	alias
Front démocratique pour la libération de la Palestine (FDLP) 	Front démocratique pour la libération de la Palestine (FDLP) 	Partis politiques	Front démocratique de libération de la Palestine (FDLP) 	alias
Le Parti communiste cubain (PCC) 	Le Parti communiste cubain (PCC) 	Partis politiques	Parti communiste cubain (PCC) 	correction
Parti action nationale (PAN) 	Parti action nationale (PAN) 	Partis politiques	Parti d'action nationale (PAN) 	correction
La politique agricole commune (PAC) 	La politique agricole commune (PAC) 	Partis politiques	Politique agricole commune (PAC) 	correction
Groupes islamiques armés (GIA) 	Groupes islamiques armés (GIA) 	Partis politiques	groupe islamique armé	correction
Groupes islamistes armés (GIA) 	Groupes islamistes armés (GIA) 	Partis politiques	groupe islamique armé	correction
Grande Bretagne	Grande Bretagne	Géographie	Grande-Bretagne	correction
é (SEL)	é (SEL)	Partis politiques	Gauche, écologie et liberté (SEL)	correction
Al-Qaida dans la xxx (AQPA) 	Al-Qaida dans la xxx (AQPA) 	Partis politiques	Al-Qaida dans la péninsule arabique (AQPA) 	correction
Al-Qaida en Irak	Al-Qaida en Irak	Partis politiques	Al-Qaida	
Colombie (FARC)	Colombie (FARC)	Partis politiques	Forces armées révolutionnaires de Colombie (FARC) 	correction
Kirghizie	Kirghizie	Géographie	Kirghizstan	alias
Institut de technologie du Massachusetts	Institut de technologie du Massachusetts	Institutions	Massachusetts Institute of Technology (MIT)	alias
Vieux Continent	Vieux Continent	Géographie	Europe	alias
vieux continent	vieux continent	Géographie	Europe	alias
Mai 68	Mai 68	Sujets		alias
mai 68	mai 68	Sujets		alias
Diego-Garcia	Diego-Garcia	Géographie	Diego Garcia	correction
Öçalan	Öçalan	Personnalités	Öcalan	correction
Ocalan	Ocalan	Personnalités	Öcalan	correction
entité sioniste	entité sioniste	Géographie	Israël	alias
Nouveaux Chiens	Nouveaux Chiens	a_ajouter	Les Nouveaux Chiens de garde	correction
Jean-Paul II	Jean-Paul II	Personnalités	Jean Paul II	alias
